algo,dataset,variant,mode,ram_cap_bytes,params_json,threads,trial,recall1,recall10,recall100,qps,mean_ms,p50_ms,p95_ms,p99_ms,p999_ms,bytes_read_total,bytes_read_per_query,bytes_per_query_app,ios_total,ios_per_query,simd_distance_calls,simd_avoided,cpu_user_s,cpu_sys_s,peak_rss_mb,wall_s,commit_sha
tapeann,sift10m,tape_int8,warm,,"{""probes"": 1000}",1,2,98.88,98.889,,36.1869,27.6343,26.7488,37.3645,40.5979,46.6833,0,0.0,157302132.7,4509,1000.0,,5324157777,113.85,293.39,933.0,293.531,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 1000}",1,3,98.88,98.889,,36.3137,27.5378,26.6261,37.2282,41.0385,46.7961,0,0.0,157302132.7,4509,1000.0,,5324157777,112.97,292.4,932.5,292.58,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 10, ""W"": 1}",1,1,,79.128,,984.5396728515625,1.0149905,,1.343,,3.417,2025664512,202566.5,73893.1,654,18.0403,,,1.46,0.89,852.8,12.743,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 10, ""W"": 1}",1,2,,79.128,,983.7192993164062,1.0158314,,1.346,,2.841,1377562624,137756.3,73893.1,655,18.0403,,,1.45,0.8,853.1,12.407,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 10, ""W"": 1}",1,3,,79.128,,991.978271484375,1.0073848,,1.312,,2.554,1377562624,137756.3,73893.1,655,18.0403,,,1.32,0.84,852.8,12.354,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 10, ""W"": 2}",1,1,,80.444,,1402.626708984375,0.7122378,,0.953,,3.13,1421557760,142155.8,90361.4,655,22.0609,,,1.43,0.8,854.0,9.337,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 10, ""W"": 2}",1,2,,80.444,,1402.7823486328125,0.712155,,0.949,,3.19,1421021184,142102.1,90361.4,654,22.0609,,,1.41,0.79,853.5,9.345,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 10, ""W"": 2}",1,3,,80.444,,1407.0401611328125,0.7099963,,0.951,,2.332,1421430784,142143.1,90361.4,654,22.0609,,,1.44,0.79,853.6,9.312,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 10, ""W"": 4}",1,1,,82.401,,1695.38525390625,0.5890984,,0.809,,1.666,1524158464,152415.8,125155.3,655,30.5555,,,1.61,0.79,853.6,8.098,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 10, ""W"": 4}",1,2,,82.401,,1695.8585205078125,0.5889432,,0.808,,2.134,1524158464,152415.8,125155.3,655,30.5555,,,1.6,0.8,854.1,8.116,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 10, ""W"": 4}",1,3,,82.401,,1685.549072265625,0.5925496,,0.813,,2.418,1524158464,152415.8,125155.3,655,30.5555,,,1.59,0.81,854.1,8.244,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 20, ""W"": 1}",1,1,,90.878,,597.42138671875,1.6731156,,2.015,,4.805,1756250112,175625.0,112566.3,655,27.482,,,1.71,1.01,854.8,18.915,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 20, ""W"": 1}",1,2,,90.878,,600.787109375,1.6637424,,1.999,,5.073,1756250112,175625.0,112566.3,655,27.482,,,1.75,0.97,853.4,18.887,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 20, ""W"": 1}",1,3,,90.878,,601.0449829101562,1.6630185,,1.992,,4.506,1756250112,175625.0,112566.3,655,27.482,,,1.67,0.98,854.2,18.797,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 20, ""W"": 2}",1,1,,91.39,,926.2366333007812,1.0789139,,1.323,,3.113,1789652992,178965.3,127905.4,655,31.2269,,,1.74,0.96,853.2,13.023,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 20, ""W"": 2}",1,2,,91.39,,927.7877807617188,1.0771022000000001,,1.317,,3.584,1789652992,178965.3,127905.4,655,31.2269,,,1.66,0.99,853.2,12.979,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 20, ""W"": 2}",1,3,,91.39,,925.1268920898438,1.0801999,,1.322,,3.561,1789652992,178965.3,127905.4,655,31.2269,,,1.73,0.98,853.7,13.057,bb380a795cd44062da32056f57301d3566b0f422
