algo,variant,dataset,mode,ram_cap_bytes,params_json,threads,n_trials,recall10_median,recall10_iqr,mean_ms_median,mean_ms_iqr,qps_median,qps_iqr,bytes_read_per_query_median,bytes_read_per_query_iqr,ios_per_query_median,ios_per_query_iqr,p99_ms_median,p99_ms_iqr,pareto_group
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 20, ""W"": 4}",1,1,92.312,0.0,1.1137,0.0,897.3506,0.0,227077.7,0.0,39.171,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 30, ""W"": 1}",1,1,94.566,0.0,2.7791,0.0,359.7284,0.0,218644.9,0.0,37.094,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 30, ""W"": 2}",1,1,94.781,0.0,1.7643,0.0,566.5441,0.0,233105.8,0.0,40.6657,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 30, ""W"": 4}",1,1,95.183,0.0,1.3349,0.0,748.7001,0.0,263731.6,0.0,48.1911,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 50, ""W"": 1}",1,1,97.409,0.0,4.1432,0.0,241.3137,0.0,298455.4,0.0,56.5882,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 50, ""W"": 2}",1,1,97.467,0.0,2.5365,0.0,394.1227,0.0,312372.0,0.0,59.9842,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 50, ""W"": 4}",1,1,97.624,0.0,1.7914,0.0,557.97,0.0,341365.6,0.0,67.0546,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 75, ""W"": 1}",1,1,98.723,0.0,5.8886,0.0,169.7941,0.0,399743.4,0.0,81.3069,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 75, ""W"": 2}",1,1,98.739,0.0,3.5464,0.0,281.9109,0.0,413028.8,0.0,84.5505,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 75, ""W"": 4}",1,1,98.801,0.0,2.6157,0.0,382.1831,0.0,440313.4,0.0,91.3136,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
